,,,,,,,Def,Def,Def,Def,,-additional
Rk,Player,Int,Season▼,Age,G,GS,Int,Yds,IntTD,PD,Pos,-9999
,Al Richardson,7,1980,23,16,16,7,139,0,,LOLB,RichAl20
,Mike Richardson,7,1986,25,16,16,7,69,0,,LCB,RichMi20
,Marcus Robertson,7,1993,24,13,13,7,137,0,,FS,RobeMa21
,Eugene Robinson,7,1992,29,16,16,7,126,0,,FS,RobiEu00
,Samari Rolle,7,2000,24,15,15,7,140,1,16,RCB,RollSa00
,Charles Romes,7,1985,31,16,16,7,56,0,,RCB,RomeCh20
,Bryant Salter,7,1972,22,14,13,7,111,0,,SS/FS,SaltBr20
,Johnny Sample,7,1968,32,14,14,7,88,1,,LCB,SampJo20
,Asante Samuel,7,2010,29,11,10,7,70,0,14,LCB,SamuAs20
,Deion Sanders,7,1993,26,11,10,7,91,0,,RCB,SandDe00
,Rick Sanford,7,1983,26,16,16,7,24,0,,FS,SanfRi20
,Kurt Schulz,7,2000,32,11,11,7,53,0,11,FS,SchuKu20
,Jake Scott,7,1971,26,14,14,7,34,0,,FS,ScotJa01
,Jake Scott,7,1978,33,16,16,7,72,0,,FS,ScotJa01
,Goldie Sellers,7,1967,25,13,8,7,78,1,,LCB,SellGo20
,Darren Sharper,7,2002,27,13,13,7,233,1,9,FS,SharDa00
,Ed Sharockman,7,1970,31,14,13,7,132,1,,RCB,SharEd21
,Donnie Shell,7,1980,28,16,16,7,135,0,,SS,ShelDo00
,Donnie Shell,7,1984,32,16,16,7,61,1,,SS,ShelDo00
,Gerald Small,7,1980,24,16,16,7,46,0,,RCB,SmalGe21
,Shawn Springs,7,1998,23,16,16,7,142,2,,LCB,SpriSh00
,Geno Stone,7,2023,24,17,11,7,101,0,9,SS/FS,StonGe00
,Charlie Stukes,7,1974,31,14,14,7,90,0,,RCB,StukCh20
,Bob Suci,7,1963,24,14,5,7,277,2,,FS,SuciBo20
,Patrick Surtain,7,2003,27,15,15,7,59,0,13,LCB,SurtPa00
,Steve Tannen,7,1972,24,13,10,7,125,0,,LCB,TannSt20
,Jack Tatum,7,1980,32,16,0,7,100,0,,DB,TatuJa00
,Keith Taylor,7,1989,25,16,0,7,225,1,,DB,TaylKe20
,Clendon Thomas,7,1962,27,14,9,7,48,0,,LCB/FS,ThomCl00
,Eric Thomas,7,1988,24,16,16,7,61,0,,RCB,ThomEr01
,Norm Thompson,7,1975,30,14,14,7,141,1,,LCB,ThomNo21
,William Thomas,7,1995,27,16,16,7,104,1,,RLB,ThomWi00
,Marcus Trufant,7,2007,27,16,16,7,150,1,15,LCB,TrufMa20
,Troy Vincent,7,1999,29,14,14,7,91,0,19,LCB,VincTr00
,Brian Walker,7,2000,28,16,16,7,80,0,9,SS,WalkBr21
,Everson Walls,7,1982,23,9,9,7,61,0,,LCB,WallEv00
,Danny Walters,7,1983,23,16,16,7,55,0,,RCB,WaltDa22
,Dave Waymer,7,1990,32,16,9,7,64,0,,FS/SS,WaymDa00
,Eric Weddle,7,2011,26,16,16,7,89,0,11,FS,WeddEr99
,Charlie West,7,1971,25,14,14,7,236,0,,LCB,WestCh20
,Bud Whitehead,7,1965,26,14,12,7,127,1,,FS,WhitBu22
,Stan White,7,1977,28,14,14,7,84,0,,RLB,WhitSt20
,Clancy Williams,7,1968,26,14,14,7,51,0,,LCB,WillCl20
,Willie Williams,7,1995,25,16,15,7,122,1,,LCB,WillWi21
