,,,,,,,Def,Def,Def,Def,,-additional
Rk,Player,Int,Season▼,Age,G,GS,Int,Yds,IntTD,PD,Pos,-9999
80,Issiac Holt,8,1986,24,16,15,8,54,0,,LCB,HoltIs20
81,Ronnie Lippett,8,1986,26,15,15,8,76,0,,LCB,LippRo20
82,Everson Walls,9,1985,26,16,16,9,31,0,,LCB,WallEv00
83,Eugene Daniel,8,1985,24,16,16,8,53,0,,RCB,DaniEu20
84,Albert Lewis,8,1985,25,16,16,8,59,0,,LCB,LewiAl00
85,Kenny Easley,10,1984,25,16,16,10,126,2,,SS,EaslKe00
86,Tom Flynn,9,1984,22,15,15,9,106,0,,FS,FlynTo20
87,Dave Brown,8,1984,31,16,16,8,179,2,,RCB,BrowDa01
88,Mark Murphy,9,1983,28,15,15,9,127,0,,FS,MurpMa20
89,Vann McElroy,8,1983,23,16,16,8,68,0,,FS,McElVa00
90,Beasley Reece,8,1983,29,16,14,8,103,0,,FS,ReecBe20
91,Ken Riley,8,1983,36,14,14,8,89,2,,RCB,RileKe20
92,Everson Walls,11,1981,22,16,12,11,133,0,,LCB,WallEv00
93,John Harris,10,1981,25,16,16,10,155,2,,FS,HarrJo24
94,Jimmy Allen,9,1981,29,15,15,9,123,0,,FS,AlleJi20
95,Cedric Brown,9,1981,27,16,15,9,215,2,,FS,BrowCe20
96,Dwight Hicks,9,1981,25,16,16,9,239,1,,FS,HickDw00
97,Dennis Thurman,9,1981,25,16,16,9,187,0,,RCB,ThurDe20
98,Lester Hayes,13,1980,25,16,16,13,273,1,,LCB,HayeLe00
99,Gary Barbaro,10,1980,26,16,16,10,163,0,,FS,BarbGa00
100,Nolan Cromwell,8,1980,25,16,16,8,140,1,,FS,CromNo00
101,Ken Schroy,8,1980,28,14,10,8,91,1,,SS,SchrKe20
102,Mike Reinfeldt,12,1979,26,16,16,12,205,0,,FS,ReinMi00
103,Lemar Parrish,9,1979,32,16,16,9,65,0,,LCB,ParrLe00
104,Thom Darden,10,1978,28,16,16,10,200,0,,FS,DardTh00
105,Willie Buchanon,9,1978,28,16,16,9,93,1,,LCB,BuchWi00
106,Ken Stone,9,1978,28,14,11,9,139,0,,FS,StonKe20
107,Rod Perry,8,1978,25,16,16,8,117,3,,RCB,PerrRo00
108,Lyle Blackwood,10,1977,26,14,14,10,163,0,,FS,BlacLy20
109,Tony Greene,9,1977,28,14,14,9,144,0,,FS,GreeTo00
110,Gary Barbaro,8,1977,23,14,14,8,165,1,,FS,BarbGa00
111,Monte Jackson,10,1976,23,14,14,10,173,3,,RCB,JackMo00
112,Ken Riley,9,1976,29,14,14,9,141,1,,RCB,RileKe20
113,Mike Haynes,8,1976,23,14,14,8,90,0,,RCB,HaynMi01
114,Joe Lavender,8,1976,27,14,14,8,77,0,,RCB,LaveJo00
115,Rod Perry,8,1976,23,14,14,8,79,0,,LCB,PerrRo00
116,Mel Blount,11,1975,27,14,14,11,121,0,,RCB,BlouMe00
117,Paul Krause,10,1975,33,14,14,10,201,0,,FS,KrauPa00
118,Rolland Lawrence,9,1975,24,14,14,9,163,1,,LCB,LawrRo00
119,Dwight Harrison,8,1975,27,13,13,8,99,0,,RCB,HarrDw20
120,Emmitt Thomas,12,1974,31,14,14,12,214,2,,RCB,ThomEm00
121,Tony Greene,9,1974,25,12,12,9,157,0,,FS,GreeTo00
122,Ray Brown,8,1974,25,14,14,8,164,1,,SS,BrowRa22
123,Thom Darden,8,1974,24,14,14,8,105,0,,FS,DardTh00
124,Dick Anderson,8,1973,27,14,14,8,163,2,,SS,AndeDi00
125,Bill Bradley,9,1972,25,14,14,9,73,0,,FS,BradBi00
126,Bill Bradley,11,1971,24,14,14,11,248,0,,FS,BradBi00
127,Ken Houston,9,1971,27,14,14,9,220,4,,SS,HousKe02
128,Mike Bass,8,1971,26,14,14,8,78,1,,RCB,BassMi20
129,Johnny Robinson,10,1970,32,14,14,10,155,0,,FS,RobiJo00
130,Dick LeBeau,9,1970,33,14,14,9,96,0,,RCB,LeBeDi00
131,Dick Anderson,8,1970,24,14,14,8,191,0,,SS,AndeDi00
132,W.K. Hicks,8,1970,28,14,14,8,99,0,,FS,HickW.00
133,Mel Renfro,10,1969,28,14,14,10,118,0,,FS,RenfMe00
134,Emmitt Thomas,9,1969,26,14,14,9,146,1,,RCB,ThomEm00
135,Lem Barney,8,1969,24,13,13,8,126,0,,LCB,BarnLe00
136,Bobby Bryant,8,1969,25,10,10,8,97,0,,RCB,BryaBo01
137,Dave Grayson,8,1969,30,14,14,8,132,1,,FS,GrayDa00
138,Johnny Robinson,8,1969,31,14,14,8,158,0,,FS,RobiJo00
139,Dave Grayson,10,1968,29,14,14,10,195,1,,FS,GrayDa00
