,,,,,,Tack,Tack,Tack,Tack,Tack
Rk,Sk,Season▼,G,GS,Sk,Solo,Ast,Comb,TFL,QBHits
136,16,1980,16,16,16,,,,,
137,15.5,1980,16,1,15.5,,,,,
138,18,1979,16,16,18,,,,,
139,16,1979,16,16,16,,,,,
140,15.5,1979,16,2,15.5,,,,,
141,15.5,1979,15,15,15.5,,,,,
142,23,1978,16,16,23,,,,,
143,17.5,1978,16,16,17.5,,,,,
144,16,1978,16,16,16,,,,,
145,14.5,1978,15,14,14.5,,,,,
146,20,1977,14,14,20,,,,,
147,17.5,1977,14,14,17.5,,,,,
148,15,1977,14,14,15,,,,,
149,21.5,1976,14,14,21.5,,,,,
150,18,1976,14,14,18,,,,,
151,16,1976,14,14,16,,,,,
152,15,1976,14,14,15,,,,,
153,14.5,1976,14,14,14.5,,,,,
154,14.5,1976,14,14,14.5,,,,,
155,14.5,1976,13,13,14.5,,,,,
156,17,1975,14,14,17,,,,,
157,16.5,1975,14,14,16.5,,,,,
158,15,1975,14,14,15,,,,,
159,14.5,1975,14,14,14.5,,,,,
160,15,1974,14,14,15,,,,,
161,15,1974,14,14,15,,,,,
162,18.5,1973,14,13,18.5,,,,,
163,16.5,1973,14,14,16.5,,,,,
164,16,1973,14,14,16,,,,,
165,15,1973,14,14,15,,,,,
166,18.5,1972,14,14,18.5,,,,,
167,17,1972,14,14,17,,,,,
168,18,1971,14,13,18,,,,,
169,17.5,1970,14,12,17.5,,,,,
170,15.5,1970,14,14,15.5,,,,,
171,14.5,1970,14,14,14.5,,,,,
172,15.5,1969,14,14,15.5,,,,,
173,15,1969,14,14,15,,,,,
174,15,1969,14,14,15,,,,,
175,15,1969,14,14,15,,,,,
176,14.5,1969,14,14,14.5,,,,,
177,22,1968,14,14,22,,,,,
178,15.5,1968,13,13,15.5,,,,,
179,21.5,1967,14,14,21.5,,,,,
180,17,1967,14,14,17,,,,,
181,15,1967,14,14,15,,,,,
182,14.5,1967,14,14,14.5,,,,,
183,18.5,1966,14,14,18.5,,,,,
184,17.5,1966,14,14,17.5,,,,,
185,16,1966,14,14,16,,,,,
186,15,1966,14,14,15,,,,,
187,15,1966,14,14,15,,,,,
188,19,1965,14,14,19,,,,,
189,16.5,1965,14,14,16.5,,,,,
190,15,1965,14,14,15,,,,,
191,14.5,1965,14,14,14.5,,,,,
192,22,1964,14,14,22,,,,,
193,15.5,1964,14,14,15.5,,,,,
194,14.5,1964,14,14,14.5,,,,,
195,14.5,1964,14,14,14.5,,,,,
196,20.5,1963,14,14,20.5,,,,,
197,16,1962,14,14,16,,,,,
198,15.5,1962,14,14,15.5,,,,,
199,17.5,1961,14,14,17.5,,,,,
200,15.5,1961,14,14,15.5,,,,,
